date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-06-14,Axiomatic_AI,AI lab / scientific computing,Research Software Engineer — Differentiable Scientific Computing,Research/Engineering,LinkedIn,submitted,,medium,"Submitted 2026-06-14. Inverse-problems/UQ lead; sbi=PyTorch, AutStr as side-project JAX note; EDA/photonics domain is adjacent",applications/Axiomatic_AI/2026_06_research_software_engineer/cv.pdf,applications/Axiomatic_AI/2026_06_research_software_engineer/cover_letter.pdf,LinkedIn ES
2026-06-14,Dex,Recruiting intermediary (employer unknown),Research Scientist — Model Team,Research,LinkedIn,on_hold,,medium,"ON HOLD: Dex is a sourcing/recruiting intermediary, NOT the employer. Its 'apply' flow is an AI chat funnel with no direct application path and pivots to recommending other jobs; actual hiring company unidentified. Drafted CV+cover letter kept in place; revisit only if the underlying employer surfaces. Generative-modeling + DeepL distributed-training overlap; video-to-audio modality is new",applications/Dex/2026_06_research_scientist_model_team/cv.pdf,applications/Dex/2026_06_research_scientist_model_team/cover_letter.pdf,LinkedIn DE
2026-06-14,Cint,Market research / applied AI,Senior Data Scientist (AI & Synthetic Intelligence),Applied DS,LinkedIn,submitted,,medium,"Submitted 2026-06-14. Generative AI + rigorous statistics; whole-career delivery story; Barcelona plus; SQL framed honestly",applications/Cint/2026_06_senior_data_scientist/cv.pdf,applications/Cint/2026_06_senior_data_scientist/cover_letter.pdf,LinkedIn ES
2026-06-14,NVIDIA,AI lab / graphics,Applied AI Researcher — World Reconstruction and Generation,Research,LinkedIn,submitted,,low,"Submitted 2026-06-14. Weakest fit; inverse-problems/differentiable-computing bridge; honest growth-motivation framing; 3D/CV adjacent",applications/NVIDIA/2026_06_applied_ai_researcher/cv.pdf,applications/NVIDIA/2026_06_applied_ai_researcher/cover_letter.pdf,LinkedIn DE
2026-06-14,Apple,AI lab / research,AIML — Machine Learning Researcher (MLR),Research,LinkedIn,submitted,,high,"Submitted 2026-06-14. Strongest fit; generative modeling + introspection/robustness + JAX + top-venue pubs; Barcelona plus",applications/Apple/2026_06_machine_learning_researcher/cv.pdf,applications/Apple/2026_06_machine_learning_researcher/cover_letter.pdf,LinkedIn ES
2026-06-14,SAP,Enterprise / applied AI,(Senior) AI Research Engineer — Research & Innovation,Research/Engineering,LinkedIn,submitted,,high,"Submitted 2026-06-14. Research-to-product translation + evaluation lead; agentic softly acknowledged + Claude Code; Potsdam/Berlin relocation",applications/SAP/2026_06_senior_ai_research_engineer/cv.pdf,applications/SAP/2026_06_senior_ai_research_engineer/cover_letter.pdf,LinkedIn DE
2026-06-14,eBay,E-commerce / applied AI,Applied Researcher,Research,LinkedIn,submitted,,high,"Submitted 2026-06-14. Eval/training lead; RWTH Aachen alma-mater tie; feedback-driven learning bridged via probabilistic modeling",applications/eBay/2026_06_applied_researcher/cv.pdf,applications/eBay/2026_06_applied_researcher/cover_letter.pdf,LinkedIn DE
2026-06-14,Adyen,Fintech / applied AI,Senior AI Research Scientist,Research,LinkedIn,submitted,,high,"Submitted 2026-06-14. Stretch; evaluation/benchmarking lead; honest on agentic-at-scale gap; Madrid plus; office-first",applications/Adyen/2026_06_senior_ai_research_scientist/cv.pdf,applications/Adyen/2026_06_senior_ai_research_scientist/cover_letter.pdf,LinkedIn ES
2026-06-14,TomTom,Maps / applied AI,Senior Applied Scientist,Applied Science,LinkedIn,submitted,,high,"Submitted 2026-06-14. Stretch; applied-science/ownership/mentoring lead; geospatial/POI named as new domain; Madrid plus; hybrid 2 days",applications/TomTom/2026_06_senior_applied_scientist/cv.pdf,applications/TomTom/2026_06_senior_applied_scientist/cover_letter.pdf,LinkedIn ES
2026-06-14,Pipedrive,SaaS / CRM AI,Principal AI/ML Scientist & Engineer,Leadership/Engineering,LinkedIn,interview,,high,"Submitted 2026-06-14. Stretch; leadership + pragmatic delivery lead; LangGraph/RAG/vector-DB bridged + Claude Code; Berlin on-site, no visa needed. 1st HR interview scheduled 2026-06-17 (Wed)",applications/Pipedrive/2026_06_principal_ai_ml_scientist_engineer/cv.pdf,applications/Pipedrive/2026_06_principal_ai_ml_scientist_engineer/cover_letter.pdf,LinkedIn DE
2026-06-14,JetBrains,Developer tools / AI,Research Engineer (LLM Training and Performance),Research/Engineering,LinkedIn,submitted,,low,"Submitted 2026-06-14. Honest long-shot; architecture+distributed-training strong; CUDA/Triton/Nsight/NCCL kernel gap stated plainly; Berlin/remote",applications/JetBrains/2026_06_research_engineer_llm_training/cv.pdf,applications/JetBrains/2026_06_research_engineer_llm_training/cover_letter.pdf,LinkedIn DE
2026-06-15,adjoe,"Mobile AdTech (Playtime, adjoe Ads)",Staff ML Research Scientist,Research/Leadership,LinkedIn,submitted,,medium,Drafted 2026-06-15. Generative reps/retrieval = generative+representation modeling; DeepL quantization/distillation overlap; honest recsys/AdTech gap (no 5yr recsys). Berlin/Hamburg. No JAX per profile rule.,applications/adjoe/2026_06_staff_ml_research_scientist/cv.pdf,applications/adjoe/2026_06_staff_ml_research_scientist/cover_letter.pdf,LinkedIn DE
2026-06-15,Intrinsic,AI robotics (Google/Alphabet),"Senior Research Scientist, Robotic Foundation Models",Research,LinkedIn,submitted,,medium,"Drafted 2026-06-15. Large-model training infra (DeepL 10B+) = role core; honest offline-RL/robotics gap. JAX mentioned via AutStr (ad lists JAX), PyTorch primary. Munich = home.",applications/Intrinsic/2026_06_senior_research_scientist_robotic_foundation_models/cv.pdf,applications/Intrinsic/2026_06_senior_research_scientist_robotic_foundation_models/cover_letter.pdf,LinkedIn DE
2026-06-15,HP,Consumer tech / AI Lab,AI Lab - Machine Learning Engineer (GenAI Modelling),Research/Engineering,LinkedIn,submitted,,medium,Drafted 2026-06-15. GenAI research-to-product + neuro-symbolic hook (logic/VeriFlow); finetuning/quantization/eval; honest NPU + LVM/LMM/SAM gap. Barcelona plus. No JAX per profile rule.,applications/HP/2026_06_ai_lab_ml_engineer/cv.pdf,applications/HP/2026_06_ai_lab_ml_engineer/cover_letter.pdf,LinkedIn ES
2026-05-29,Preply,"EdTech / AI learning (unicorn, Series D)",AI Research Scientist,Research,Direct (manual),interview,,high,"Manually applied (CV+cover letter in documents/applications/preply/). AI Learning team, Barcelona. 2nd interview scheduled 2026-06-17 (Wed). Strong fit: NLP/LLM/GenAI research-to-production, mentoring, PyTorch, AWS/GCP; Barcelona strong plus.",documents/applications/preply/abuzaid_resume.pdf,documents/applications/preply/abuzaid_cover_letter.pdf,Direct/manual
2026-06-14,NielsenIQ,Consumer intelligence / applied AI,Senior Research Scientist (Applied Research - Agentic AI; SLMs & GenAI Research),Research,Direct (manual),submitted,,medium,"Manually applied (CV+cover letter in documents/applications/Nielson_IQ/senior_research_scientist_genai_(spain)/). Madrid/Barcelona/Valladolid hybrid. GenAI/SLM fine-tuning + validation/maturation = research-to-product fit; agentic AI is honest growth area (Claude Code). Spain plus.",documents/applications/Nielson_IQ/senior_research_scientist_genai_(spain)/abuzaid_resume.pdf,documents/applications/Nielson_IQ/senior_research_scientist_genai_(spain)/abuzaid_cover_letter.pdf,Direct/manual
2026-06-21,Cerence,Conversational / voice AI,Senior AI Research Scientist,Research,Adzuna / company site,submitted,,medium,Submitted 2026-06-21. Remote-Germany; salary EUR 81.5k-136k. Speech/conversational-AI + real-time inference overlap with DeepL; honest gap on RL post-training (GRPO/DAPO). No JAX per profile rule.,applications/Cerence/2026_06_senior_ai_research_scientist/cv.pdf,applications/Cerence/2026_06_senior_ai_research_scientist/cover_letter.pdf,Adzuna DE
2026-06-21,"Next_Phase (biotech, undisclosed)",Biotech / scientific ML,Scientific Machine Learning Engineer,Research/Engineering,LinkedIn (recruiter),submitted,Aaron Stone (Next Phase Recruitment),high,"Submitted 2026-06-21 via Next Phase recruiter. EMPLOYER UNDISCLOSED (blind listing; Barcelona early-stage venture-backed AI-native biotech, cell therapy/manufacturing). Confirm client name before final submission. Strongest content fit: SBI/Bayesian/UQ/inverse problems core; biology domain new. Barcelona strong plus. No JAX per profile rule.",applications/Next_Phase/2026_06_scientific_ml_engineer/cv.pdf,applications/Next_Phase/2026_06_scientific_ml_engineer/cover_letter.pdf,LinkedIn ES
2026-06-21,sipgate,Telco / conversational AI,(Senior) Applied ML Researcher,Research/Leadership,LinkedIn,submitted,,medium,Submitted 2026-06-21. Duesseldorf (monthly on-site; resident in Germany required). German cover letter (ad requires C1; native). NLP/LLM eval + research-team leadership; STT/TTS nice-to-have hit via DeepL speech. JAX surfaced via AutStr (ad lists JAX). Honest gap on RLHF/DPO post-training.,applications/sipgate/2026_06_senior_applied_ml_researcher/cv.pdf,applications/sipgate/2026_06_senior_applied_ml_researcher/cover_letter.pdf,LinkedIn DE
2026-06-21,Pigment,Business planning SaaS / applied AI,Senior AI Scientist,Research/Applied,LinkedIn,submitted,,medium,"Submitted 2026-06-21. Remote-friendly, Munich-listed (home base). Forecasting (UK pharma) + evaluation/benchmarking lead; GenAI/generative modeling. Honest gap on agentic (langchain/langgraph), acknowledged + Claude Code. Tabular bridged via Camelot. No JAX per profile rule.",applications/Pigment/2026_06_senior_ai_scientist/cv.pdf,applications/Pigment/2026_06_senior_ai_scientist/cover_letter.pdf,LinkedIn
2026-06-29,Siemens,Enterprise / industrial AI,Principal Applied Scientist (f/m/d),Research/Applied,Adzuna / company site,submitted,,high,"Drafted 2026-06-29. Strongest of this batch (~85). Munich home base, hybrid 2-3 days. Preferred quals = scientific ML for physical systems (surrogate/operator/physics-informed/diff-sim) + generative AI + evaluation + responsible AI; SBI/UQ/VeriFlow map directly. Senior IC, end-to-end ownership. No JAX per profile rule (not demanded).",applications/Siemens/2026_06_principal_applied_scientist/cv.pdf,applications/Siemens/2026_06_principal_applied_scientist/cover_letter.pdf,Adzuna/Arbeitsagentur DE
2026-06-29,Bosch,Industrial / Bosch Research,Research Engineer - LLM for Multi-agent Systems (f/m/div.),Research/Engineering,LinkedIn,submitted,Meltem Arabacioglu (HR) / Roland Norden (technical),high,"Drafted 2026-06-29 (~70). Renningen/Stuttgart relocation (open to it, stated). Differentiator: formal methods (VeriFlow NN-verification + AutStr automata/FO-logic) maps onto requirement analysis & verification support. Honest gap on agentic frameworks (LangChain/AutoGen) + RAG, acknowledged + Claude Code. JAX surfaced via AutStr (ad lists JAX). Submission wants CV+certs+GitHub.",applications/Bosch/2026_06_research_engineer_llm_multi_agent/cv.pdf,applications/Bosch/2026_06_research_engineer_llm_multi_agent/cover_letter.pdf,LinkedIn DE
2026-06-29,Audible,Audiobooks / applied AI (Amazon),Applied Scientist,Research/Applied,LinkedIn,submitted,,medium,"Drafted 2026-06-29 (~67). Berlin relocation (open to it, stated). GenAI/NLP/LLM-to-solve-problems + evaluation/model-peer-review (reviewer track record) = core fit. Honest gaps: recommendation systems (adjacent, acknowledged), AWS SageMaker stack, SQL depth (framed honestly). No JAX per profile rule.",applications/Audible/2026_06_applied_scientist/cv.pdf,applications/Audible/2026_06_applied_scientist/cover_letter.pdf,LinkedIn DE
